id,List_of_items,number_of_items_per_type,total_number_of_items,store_id,operator_id,city_id
1,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[46, 73, 73, 31, 54, 16, 69, 67, 80, 31]",540,1,1,3
2,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[29, 42, 29, 34, 94, 87, 51, 34, 55, 97]",552,2,1,3
3,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[16, 79, 80, 18, 28, 64, 57, 23, 30, 91]",486,3,1,3
4,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[57, 59, 57, 89, 99, 49, 61, 61, 73, 93]",698,4,1,3
5,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[72, 83, 100, 93, 84, 30, 18, 38, 96, 52]",666,5,1,3
6,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[72, 21, 78, 75, 59, 29, 32, 31, 83, 52]",532,6,1,3
7,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[36, 91, 100, 65, 26, 81, 95, 78, 43, 96]",711,7,1,3
8,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[92, 94, 52, 30, 75, 42, 50, 31, 65, 20]",551,8,1,3
9,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[88, 64, 57, 53, 75, 34, 14, 90, 17, 49]",541,9,1,3
10,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[72, 14, 27, 37, 39, 53, 77, 17, 14, 31]",381,10,1,3
11,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[33, 88, 48, 58, 67, 92, 81, 63, 40, 74]",644,11,1,11
12,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[36, 85, 43, 22, 65, 55, 62, 72, 56, 60]",556,12,1,11
13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[92, 50, 81, 20, 16, 61, 19, 89, 90, 28]",546,13,1,11
14,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[50, 60, 33, 35, 14, 58, 50, 47, 76, 20]",443,14,1,11
15,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[56, 19, 74, 93, 64, 29, 77, 25, 85, 51]",573,15,1,11
16,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[32, 40, 80, 78, 27, 46, 62, 85, 72, 37]",559,16,1,11
17,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[26, 72, 88, 61, 96, 44, 44, 13, 87, 86]",617,17,1,11
18,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[96, 48, 66, 36, 29, 97, 47, 87, 88, 50]",644,18,1,11
19,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[76, 90, 48, 35, 72, 46, 21, 16, 95, 46]",545,19,1,11
20,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[44, 64, 75, 24, 56, 65, 51, 38, 74, 54]",545,20,1,11
21,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[23, 90, 52, 48, 69, 72, 26, 90, 43, 14]",527,21,1,10
22,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[67, 27, 76, 21, 61, 90, 62, 42, 40, 90]",576,22,1,10
23,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[54, 97, 27, 63, 16, 91, 13, 39, 61, 51]",512,23,1,10
24,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[58, 49, 47, 33, 58, 30, 13, 16, 65, 24]",393,24,1,10
25,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[23, 13, 75, 90, 91, 13, 11, 19, 33, 12]",380,25,1,10
26,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[86, 69, 24, 45, 41, 22, 13, 22, 27, 36]",385,26,1,10
27,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[56, 48, 89, 20, 94, 68, 46, 71, 53, 74]",619,27,1,10
28,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[50, 25, 95, 30, 11, 12, 26, 41, 91, 74]",455,28,1,10
29,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[36, 88, 100, 52, 14, 96, 21, 13, 25, 31]",476,29,1,10
30,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[35, 84, 90, 90, 11, 21, 45, 90, 72, 76]",614,30,1,10
31,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[25, 89, 11, 16, 29, 30, 84, 95, 61, 59]",499,31,1,16
32,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[34, 86, 93, 42, 89, 47, 100, 49, 18, 52]",610,32,1,16
33,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[46, 55, 13, 68, 29, 23, 41, 53, 77, 80]",485,33,1,16
34,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[16, 69, 36, 11, 54, 70, 21, 91, 46, 12]",426,34,1,16
35,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[51, 24, 98, 63, 60, 66, 74, 30, 36, 67]",569,35,1,16
36,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[16, 11, 62, 54, 35, 93, 70, 27, 39, 40]",447,36,1,16
37,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[91, 44, 53, 56, 52, 23, 68, 97, 29, 90]",603,37,1,16
38,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[61, 63, 33, 74, 17, 55, 33, 10, 28, 17]",391,38,1,16
39,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[60, 22, 31, 97, 22, 95, 86, 23, 52, 80]",568,39,1,16
40,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[94, 25, 86, 48, 60, 17, 88, 84, 69, 23]",594,40,1,16
41,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[49, 73, 83, 82, 39, 96, 65, 95, 63, 42]",687,41,1,2
42,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[93, 96, 33, 31, 80, 32, 76, 42, 39, 68]",590,42,1,2
43,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[30, 90, 45, 30, 54, 74, 62, 52, 34, 11]",482,43,1,2
44,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[37, 33, 34, 75, 74, 55, 62, 21, 68, 54]",513,44,1,2
45,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[31, 46, 39, 14, 22, 91, 30, 58, 39, 71]",441,45,1,2
46,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[51, 48, 47, 68, 91, 38, 79, 86, 70, 59]",637,46,1,2
47,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[46, 60, 12, 87, 46, 12, 90, 16, 33, 95]",497,47,1,2
48,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[24, 74, 87, 95, 26, 84, 66, 58, 64, 38]",616,48,1,2
49,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[97, 61, 53, 69, 100, 22, 42, 45, 34, 92]",615,49,1,2
50,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[32, 68, 43, 34, 96, 60, 14, 79, 70, 75]",571,50,1,2
51,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[33, 52, 30, 60, 90, 77, 98, 87, 45, 72]",644,51,1,14
52,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[44, 79, 44, 21, 96, 39, 84, 100, 89, 63]",659,52,1,14
53,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[78, 92, 77, 49, 67, 69, 28, 75, 21, 24]",580,53,1,14
54,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[98, 22, 94, 14, 18, 55, 88, 94, 71, 61]",615,54,1,14
55,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[50, 27, 67, 76, 74, 79, 65, 19, 49, 73]",579,55,1,14
56,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[10, 45, 31, 27, 46, 31, 78, 30, 17, 89]",404,56,1,14
57,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[78, 47, 17, 63, 75, 85, 17, 48, 79, 60]",569,57,1,14
58,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[68, 59, 83, 99, 92, 17, 80, 56, 13, 78]",645,58,1,14
59,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[57, 94, 19, 12, 73, 32, 95, 37, 18, 68]",505,59,1,14
60,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[87, 62, 52, 34, 99, 51, 69, 26, 69, 80]",629,60,1,14
61,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[71, 40, 33, 23, 24, 46, 78, 84, 64, 75]",538,61,1,24
62,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[69, 28, 21, 34, 31, 57, 12, 42, 55, 99]",448,62,1,24
63,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[21, 12, 66, 52, 68, 93, 90, 13, 43, 61]",519,63,1,24
64,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[61, 39, 74, 43, 17, 31, 85, 36, 64, 12]",462,64,1,24
65,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[47, 56, 14, 10, 63, 13, 22, 32, 48, 63]",368,65,1,24
66,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[97, 23, 67, 87, 81, 14, 34, 12, 35, 71]",521,66,1,24
67,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[25, 30, 47, 73, 100, 97, 55, 87, 95, 15]",624,67,1,24
68,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[48, 57, 17, 74, 10, 15, 20, 58, 24, 84]",407,68,1,24
69,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[90, 60, 73, 15, 12, 60, 85, 37, 54, 88]",574,69,1,24
70,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[19, 14, 72, 51, 34, 46, 77, 63, 41, 92]",509,70,1,24
71,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[41, 59, 35, 49, 49, 38, 89, 53, 95, 97]",605,71,1,17
72,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[12, 72, 88, 90, 42, 82, 32, 38, 74, 33]",563,72,1,17
73,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[86, 100, 55, 46, 73, 68, 42, 62, 14, 58]",604,73,1,17
74,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[47, 25, 38, 36, 82, 87, 68, 84, 80, 64]",611,74,1,17
75,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[52, 100, 13, 82, 48, 63, 92, 98, 94, 87]",729,75,1,17
76,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[38, 12, 64, 43, 10, 37, 20, 26, 16, 75]",341,76,1,17
77,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[62, 77, 93, 69, 20, 65, 65, 98, 90, 68]",707,77,1,17
78,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[72, 36, 96, 61, 44, 60, 87, 43, 100, 19]",618,78,1,17
79,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[38, 62, 13, 83, 53, 83, 90, 35, 42, 67]",566,79,1,17
80,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[45, 82, 22, 82, 83, 94, 60, 91, 71, 21]",651,80,1,17
81,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[91, 84, 22, 76, 58, 97, 18, 30, 13, 82]",571,81,1,15
82,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[38, 14, 92, 13, 89, 17, 50, 18, 96, 80]",507,82,1,15
83,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[81, 20, 31, 10, 21, 53, 94, 28, 60, 63]",461,83,1,15
84,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[88, 59, 89, 17, 83, 75, 61, 27, 93, 21]",613,84,1,15
85,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[21, 93, 100, 31, 83, 64, 10, 28, 85, 50]",565,85,1,15
86,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[26, 82, 51, 44, 72, 95, 89, 86, 34, 34]",613,86,1,15
87,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[88, 56, 86, 43, 71, 94, 61, 83, 96, 88]",766,87,1,15
88,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[31, 73, 98, 31, 42, 90, 75, 82, 97, 35]",654,88,1,15
89,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[46, 84, 82, 57, 80, 50, 63, 71, 86, 17]",636,89,1,15
90,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[32, 24, 47, 81, 14, 29, 92, 10, 12, 75]",416,90,1,15
91,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[38, 48, 61, 22, 61, 13, 96, 35, 28, 20]",422,91,1,8
92,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[88, 70, 43, 74, 80, 28, 53, 41, 14, 87]",578,92,1,8
93,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[99, 44, 20, 68, 34, 91, 100, 52, 24, 21]",553,93,1,8
94,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[79, 13, 67, 85, 63, 87, 93, 40, 22, 85]",634,94,1,8
95,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[91, 10, 42, 18, 85, 27, 59, 22, 36, 26]",416,95,1,8
96,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[93, 73, 21, 75, 47, 10, 52, 60, 57, 15]",503,96,1,8
97,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[49, 67, 16, 11, 89, 49, 26, 43, 70, 75]",495,97,1,8
98,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[30, 55, 56, 93, 36, 24, 43, 58, 67, 54]",516,98,1,8
99,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[23, 67, 65, 63, 79, 72, 10, 55, 11, 78]",523,99,1,8
100,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[31, 57, 54, 16, 83, 55, 45, 100, 56, 63]",560,100,1,8
101,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[73, 51, 27, 29, 52, 40, 19, 12, 33, 18]",354,101,2,22
102,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[28, 87, 65, 69, 45, 64, 93, 61, 37, 31]",580,102,2,22
103,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[18, 58, 45, 31, 19, 19, 31, 91, 12, 46]",370,103,2,22
104,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[59, 62, 80, 70, 75, 43, 98, 39, 43, 28]",597,104,2,22
105,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[43, 84, 81, 34, 64, 49, 27, 66, 80, 63]",591,105,2,22
106,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[82, 91, 98, 69, 21, 94, 26, 95, 67, 65]",708,106,2,22
107,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[59, 55, 35, 88, 33, 69, 87, 82, 23, 34]",565,107,2,22
108,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[50, 46, 32, 81, 81, 21, 19, 55, 60, 49]",494,108,2,22
109,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[55, 80, 64, 30, 16, 70, 11, 90, 94, 80]",590,109,2,22
110,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[98, 42, 77, 99, 99, 36, 50, 77, 43, 66]",687,110,2,22
111,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[91, 40, 33, 33, 93, 69, 83, 61, 87, 45]",635,111,2,16
112,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[87, 74, 93, 45, 26, 89, 56, 85, 45, 60]",660,112,2,16
113,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[60, 18, 86, 40, 63, 66, 56, 15, 13, 49]",466,113,2,16
114,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[93, 27, 42, 69, 53, 42, 12, 17, 42, 33]",430,114,2,16
115,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[47, 75, 45, 42, 81, 12, 26, 35, 38, 41]",442,115,2,16
116,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[10, 90, 64, 44, 85, 78, 20, 52, 85, 22]",550,116,2,16
117,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[47, 19, 18, 32, 53, 23, 25, 27, 80, 33]",357,117,2,16
118,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[60, 39, 90, 70, 11, 47, 100, 68, 44, 39]",568,118,2,16
