item_id,name,item_type,weight,dimensions,special_handling_requirements
1,Item_1,Furniture,2.58,"(0.24, 0.63, 0.4)",Fragile
2,Item_2,Clothing,9.4,"(0.16, 0.12, 0.34)",Perishable
3,Item_3,Electronics,1.7,"(0.26, 0.79, 0.42)",None
4,Item_4,Furniture,1.86,"(0.19, 0.37, 0.28)",Perishable
5,Item_5,Clothing,2.33,"(0.19, 0.91, 0.47)",None
6,Item_6,Furniture,7.77,"(0.71, 0.7, 0.88)",Perishable
7,Item_7,Food,0.29,"(0.14, 0.14, 0.97)",Perishable
8,Item_8,Electronics,9.26,"(0.89, 0.55, 0.34)",Fragile
9,Item_9,Electronics,7.0,"(0.82, 0.3, 0.54)",Fragile
10,Item_10,Books,3.38,"(0.73, 0.26, 0.49)",None
