driver_id,name,latitude,longitude,city_id,vehicle_id,operators_id,is_available,max_delivery_radius,pending_orders_count,availability_time
1,Driver_1,30.104447883536416,74.13189683050864,1,1,3,True,,,
2,Driver_2,30.126730183896797,74.1526185291655,1,2,4,True,,,
3,Driver_3,30.231524460196304,74.15958339569804,1,3,10,True,,,
4,Driver_4,30.163879160745726,74.17294678936086,1,4,3,True,,,
5,Driver_5,30.220818528506282,74.22039451599629,1,5,3,True,,,
6,Driver_6,30.137710494362295,74.22162753079262,1,6,3,True,,,
7,Driver_7,30.141542102632155,74.22785452958348,1,7,2,True,,,
8,Driver_8,30.1317156914102,74.26644050259367,1,8,9,True,,,
9,Driver_9,30.16797882067647,74.15428395281909,1,9,3,True,,,
10,Driver_10,30.144259548743545,74.17745035990971,1,10,10,True,,,
11,Driver_11,30.230496660512443,74.18892771200909,1,11,10,True,,,
12,Driver_12,30.049883283946116,74.2223445691373,1,12,4,True,,,
13,Driver_13,30.158036151705737,74.32260104931166,1,13,10,True,,,
14,Driver_14,30.0635543464658,74.17467520706143,1,14,7,True,,,
15,Driver_15,30.15799499421831,74.18356635707306,1,15,10,True,,,
16,Driver_16,30.067002855651303,74.10805529823267,1,16,4,True,,,
17,Driver_17,30.172093729979245,74.19744593897389,1,17,10,True,,,
18,Driver_18,30.10168319055659,74.18152738598548,1,18,3,True,,,
19,Driver_19,30.187017204215945,74.19439403242102,1,19,7,True,,,
20,Driver_20,30.04521864385197,74.22429152041204,1,20,7,True,,,
21,Driver_21,30.090147458440317,74.318156667497,1,21,9,True,,,
22,Driver_22,30.202181455698014,74.11410113705779,1,22,10,True,,,
23,Driver_23,30.130624900563035,74.17585977801441,1,23,3,True,,,
24,Driver_24,30.168572080950806,74.20037034629068,1,24,10,True,,,
25,Driver_25,30.121188046660492,74.24740174725058,1,25,7,True,,,
26,Driver_26,30.234135519773833,74.2702151607455,1,26,4,True,,,
27,Driver_27,30.13870578314489,74.1959546089614,1,27,3,True,,,
28,Driver_28,30.167698585566434,74.08022857996053,1,28,4,True,,,
29,Driver_29,30.103975541514227,74.2734301817384,1,29,3,True,,,
30,Driver_30,30.120011028042157,74.19171622618346,1,30,7,True,,,
31,Driver_31,30.151613881135905,74.19675663084577,1,31,7,True,,,
32,Driver_32,30.17376274553108,74.2802270683826,1,32,3,True,,,
33,Driver_33,30.192413338780394,74.20149666264881,1,33,3,True,,,
34,Driver_34,30.142617284441215,74.15501134657048,1,34,9,True,,,
35,Driver_35,30.220040811003617,74.30274175659122,1,35,4,True,,,
36,Driver_36,30.155814009898467,74.19665856073692,1,36,7,True,,,
37,Driver_37,30.168052406203575,74.28387286383422,1,37,9,True,,,
38,Driver_38,30.102883608132995,74.0806196839157,1,38,2,True,,,
39,Driver_39,30.144450522166334,74.19810840024111,1,39,4,True,,,
40,Driver_40,30.141832476448617,74.19302535369644,1,40,2,True,,,
41,Driver_41,30.25033528762161,74.135728902749,1,41,3,True,,,
42,Driver_42,30.05638410022484,74.23281586137827,1,42,3,True,,,
43,Driver_43,30.23395200808978,74.17886578947945,1,43,4,True,,,
44,Driver_44,30.149154046598614,74.20217945521225,1,44,4,True,,,
45,Driver_45,30.14589355803794,74.0820533319916,1,45,4,True,,,
46,Driver_46,30.197415912116295,74.1954559847654,1,46,7,True,,,
47,Driver_47,30.13993197609235,74.18715587153277,1,47,2,True,,,
48,Driver_48,30.241464486225365,74.24924843250214,1,48,3,True,,,
49,Driver_49,30.137882470599603,74.20113787367598,1,49,10,True,,,
50,Driver_50,30.19552502314928,74.1633267797496,1,50,4,True,,,
51,Driver_51,30.158091972110302,74.08685812692467,1,51,10,True,,,
52,Driver_52,30.09238483731164,74.28375722974398,1,52,7,True,,,
53,Driver_53,30.146324203553636,74.1979566954386,1,53,7,True,,,
54,Driver_54,30.136472314950332,74.21668821924544,1,54,9,True,,,
55,Driver_55,30.21271319012018,74.118480784151,1,55,2,True,,,
56,Driver_56,30.070467423877766,74.15214499469938,1,56,4,True,,,
57,Driver_57,30.037465998281082,74.20220323352962,1,57,10,True,,,
58,Driver_58,30.124593010420053,74.20529965970127,1,58,10,True,,,
59,Driver_59,30.125563930778217,74.18937648734189,1,59,2,True,,,
60,Driver_60,30.103052031895484,74.25098223156428,1,60,2,True,,,
61,Driver_61,30.11827948591141,74.19137606937446,1,61,9,True,,,
62,Driver_62,30.163357587777853,74.2115560263718,1,62,9,True,,,
63,Driver_63,30.14411203780076,74.1942999218574,1,63,4,True,,,
64,Driver_64,30.159339323876694,74.16988935330436,1,64,4,True,,,
65,Driver_65,30.140400511105263,74.16167544687633,1,65,9,True,,,
66,Driver_66,30.21276006853345,74.26124269530354,1,66,3,True,,,
67,Driver_67,30.08856170235116,74.15510289476471,1,67,9,True,,,
68,Driver_68,30.13089870337424,74.3270571705062,1,68,4,True,,,
69,Driver_69,30.120899473782,74.17666382519799,1,69,3,True,,,
70,Driver_70,30.157238159103528,74.22842868409985,1,70,7,True,,,
71,Driver_71,30.210561954041804,74.08999183506403,1,71,7,True,,,
72,Driver_72,30.184647218328415,74.28517691988039,1,72,3,True,,,
73,Driver_73,30.093504539382042,74.18161480838003,1,73,9,True,,,
74,Driver_74,30.077933951664846,74.19854331490481,1,74,9,True,,,
75,Driver_75,30.25939448393314,74.20793318553152,1,75,7,True,,,
76,Driver_76,30.062703797416326,74.21353029369396,1,76,4,True,,,
77,Driver_77,30.175896711758615,74.23928934890566,1,77,3,True,,,
78,Driver_78,30.185765186994455,74.25078334642883,1,78,7,True,,,
79,Driver_79,30.073956284573477,74.3010698389093,1,79,9,True,,,
80,Driver_80,30.11108855903039,74.29752841044784,1,80,3,True,,,
81,Driver_81,30.097882274572733,74.18377223931952,1,81,4,True,,,
82,Driver_82,30.091003048017104,74.18205629146998,1,82,9,True,,,
83,Driver_83,30.132454057014048,74.20612472026853,1,83,10,True,,,
84,Driver_84,30.102787529343903,74.26034107868932,1,84,7,True,,,
85,Driver_85,30.143485008205356,74.19640582583189,1,85,4,True,,,
86,Driver_86,30.16845117414437,74.2993200847887,1,86,9,True,,,
87,Driver_87,30.1308033411445,74.13355658411427,1,87,10,True,,,
88,Driver_88,30.148325818365066,74.17505279749923,1,88,7,True,,,
89,Driver_89,30.14522030574674,74.21665164701763,1,89,9,True,,,
90,Driver_90,30.130169417274654,74.15373981311396,1,90,9,True,,,
91,Driver_91,30.128664242709977,74.18696082520647,1,91,9,True,,,
92,Driver_92,30.063651505543717,74.18153916476714,1,92,3,True,,,
93,Driver_93,30.173253108164108,74.15588554693794,1,93,2,True,,,
94,Driver_94,30.204579506147162,74.22447938580773,1,94,3,True,,,
95,Driver_95,30.02914978990449,74.18600814496722,1,95,9,True,,,
96,Driver_96,30.102362414148644,74.1154340656604,1,96,7,True,,,
97,Driver_97,30.14838651676708,74.21806717024994,1,97,2,True,,,
98,Driver_98,30.206430963305756,74.3074830128646,1,98,7,True,,,
99,Driver_99,30.147278564830923,74.19676706836182,1,99,3,True,,,
100,Driver_100,30.041339438497335,74.24214586561637,1,100,2,True,,,
101,Driver_101,19.490833593360808,78.33110368558292,2,101,6,True,,,
102,Driver_102,19.38238065029577,78.31729315002582,2,102,10,True,,,
103,Driver_103,19.402976508638247,78.27368240197833,2,103,8,True,,,
104,Driver_104,19.390577646887973,78.31062108712722,2,104,8,True,,,
105,Driver_105,19.41536927603565,78.25597600593865,2,105,1,True,,,
106,Driver_106,19.399832613202037,78.31023964965023,2,106,5,True,,,
107,Driver_107,19.430933319743463,78.38711892096548,2,107,5,True,,,
108,Driver_108,19.410402961387327,78.26966899019699,2,108,7,True,,,
109,Driver_109,19.40157828887065,78.31616382410184,2,109,5,True,,,
110,Driver_110,19.433846905511757,78.27924642476876,2,110,2,True,,,
111,Driver_111,19.3965459101485,78.29534406239563,2,111,7,True,,,
112,Driver_112,19.36433423117305,78.36915179631441,2,112,7,True,,,
113,Driver_113,19.39192832850267,78.2884214508676,2,113,8,True,,,
114,Driver_114,19.416208473917994,78.28706802887778,2,114,5,True,,,
115,Driver_115,19.450115516506106,78.293502465095,2,115,1,True,,,
116,Driver_116,19.318824385666332,78.28346552889313,2,116,8,True,,,
117,Driver_117,19.40825571179397,78.37044163079767,2,117,8,True,,,
118,Driver_118,19.3536357768228,78.2224639721235,2,118,7,True,,,
119,Driver_119,19.44860863036002,78.39286538256889,2,119,8,True,,,
120,Driver_120,19.418824314795884,78.33272902516184,2,120,2,True,,,
121,Driver_121,19.398891778476468,78.27882675683404,2,121,6,True,,,
122,Driver_122,19.39500939653497,78.27281017690606,2,122,7,True,,,
123,Driver_123,19.451145018847097,78.3953136135906,2,123,8,True,,,
124,Driver_124,19.35769667952618,78.32935922644005,2,124,8,True,,,
125,Driver_125,19.449691584913158,78.29417500810821,2,125,7,True,,,
126,Driver_126,19.3692889101666,78.31582623625188,2,126,10,True,,,
127,Driver_127,19.397058987962478,78.29155222811832,2,127,7,True,,,
