vehicle_id,owner,driver,vehicle_operator,vehicle_type_id,number_plate,fuel_type,vehicle_status
1,Owner_1,Driver_1,2,4,AB-34-AB-4956,Diesel,Under Maintenance
2,Owner_2,Driver_2,4,3,AB-31-AB-1154,Diesel,In Use
3,Owner_3,Driver_3,2,3,AB-95-AB-7343,Electric,In Use
4,Owner_4,Driver_4,5,3,AB-97-AB-4774,Electric,Available
5,Owner_5,Driver_5,5,3,AB-69-AB-6094,Diesel,Under Maintenance
6,Owner_6,Driver_6,2,5,AB-96-AB-7724,Diesel,In Use
7,Owner_7,Driver_7,7,5,AB-19-AB-1190,Petrol,In Use
8,Owner_8,Driver_8,2,2,AB-21-AB-7560,Diesel,Available
9,Owner_9,Driver_9,7,4,AB-24-AB-9595,Diesel,In Use
10,Owner_10,Driver_10,8,4,AB-25-AB-3637,Diesel,Available
11,Owner_11,Driver_11,3,3,AB-30-AB-1344,Electric,Available
12,Owner_12,Driver_12,6,4,AB-33-AB-6002,Diesel,In Use
13,Owner_13,Driver_13,7,4,AB-28-AB-2115,Electric,Available
14,Owner_14,Driver_14,7,1,AB-24-AB-8934,Electric,In Use
15,Owner_15,Driver_15,7,5,AB-78-AB-6882,Diesel,Under Maintenance
16,Owner_16,Driver_16,6,4,AB-45-AB-3774,Electric,In Use
17,Owner_17,Driver_17,10,3,AB-13-AB-7468,Diesel,Under Maintenance
18,Owner_18,Driver_18,6,4,AB-73-AB-2712,Electric,Under Maintenance
19,Owner_19,Driver_19,1,4,AB-68-AB-6659,Petrol,Available
20,Owner_20,Driver_20,2,4,AB-17-AB-7766,Diesel,Available
21,Owner_21,Driver_21,6,3,AB-14-AB-8848,Electric,Available
22,Owner_22,Driver_22,6,5,AB-10-AB-6654,Electric,Under Maintenance
23,Owner_23,Driver_23,8,2,AB-40-AB-5155,Diesel,In Use
24,Owner_24,Driver_24,4,3,AB-95-AB-8591,Diesel,In Use
25,Owner_25,Driver_25,1,5,AB-43-AB-9853,Petrol,Under Maintenance
26,Owner_26,Driver_26,1,5,AB-74-AB-2711,Petrol,Available
27,Owner_27,Driver_27,7,5,AB-30-AB-7337,Diesel,Under Maintenance
28,Owner_28,Driver_28,2,1,AB-84-AB-8169,Electric,In Use
29,Owner_29,Driver_29,2,2,AB-33-AB-7370,Petrol,Available
30,Owner_30,Driver_30,5,1,AB-53-AB-6037,Electric,Available
31,Owner_31,Driver_31,3,4,AB-51-AB-4169,Petrol,In Use
32,Owner_32,Driver_32,6,4,AB-96-AB-6799,Diesel,In Use
33,Owner_33,Driver_33,8,3,AB-63-AB-5394,Electric,In Use
34,Owner_34,Driver_34,9,5,AB-75-AB-1079,Diesel,In Use
35,Owner_35,Driver_35,2,3,AB-20-AB-8494,Electric,Under Maintenance
36,Owner_36,Driver_36,1,5,AB-82-AB-6957,Diesel,Available
37,Owner_37,Driver_37,10,3,AB-76-AB-7886,Diesel,Under Maintenance
38,Owner_38,Driver_38,8,2,AB-54-AB-1103,Electric,Available
39,Owner_39,Driver_39,4,1,AB-13-AB-4891,Electric,Available
40,Owner_40,Driver_40,8,3,AB-40-AB-7651,Petrol,Under Maintenance
41,Owner_41,Driver_41,6,5,AB-26-AB-4937,Diesel,Under Maintenance
42,Owner_42,Driver_42,8,4,AB-35-AB-7895,Diesel,Available
43,Owner_43,Driver_43,8,3,AB-36-AB-8261,Electric,Available
44,Owner_44,Driver_44,8,4,AB-60-AB-2811,Electric,In Use
45,Owner_45,Driver_45,5,5,AB-27-AB-1007,Electric,Under Maintenance
46,Owner_46,Driver_46,8,1,AB-95-AB-3792,Diesel,Under Maintenance
47,Owner_47,Driver_47,3,5,AB-57-AB-8752,Petrol,Under Maintenance
48,Owner_48,Driver_48,6,4,AB-45-AB-9259,Electric,In Use
49,Owner_49,Driver_49,1,2,AB-26-AB-8565,Electric,Available
50,Owner_50,Driver_50,5,5,AB-55-AB-5984,Petrol,Under Maintenance
51,Owner_51,Driver_51,4,1,AB-48-AB-3647,Diesel,In Use
52,Owner_52,Driver_52,1,2,AB-86-AB-1537,Electric,Available
53,Owner_53,Driver_53,6,2,AB-56-AB-6466,Electric,Under Maintenance
54,Owner_54,Driver_54,9,5,AB-32-AB-4186,Electric,Under Maintenance
55,Owner_55,Driver_55,3,3,AB-69-AB-2848,Petrol,Available
56,Owner_56,Driver_56,7,3,AB-79-AB-3889,Diesel,Under Maintenance
57,Owner_57,Driver_57,8,2,AB-33-AB-1945,Diesel,In Use
58,Owner_58,Driver_58,5,4,AB-97-AB-1668,Diesel,Available
59,Owner_59,Driver_59,10,2,AB-41-AB-7680,Electric,Available
60,Owner_60,Driver_60,1,5,AB-93-AB-3266,Petrol,Under Maintenance
61,Owner_61,Driver_61,8,4,AB-13-AB-9542,Electric,In Use
62,Owner_62,Driver_62,4,2,AB-44-AB-6056,Electric,Under Maintenance
63,Owner_63,Driver_63,2,4,AB-96-AB-7916,Petrol,Available
64,Owner_64,Driver_64,10,1,AB-96-AB-4704,Diesel,In Use
65,Owner_65,Driver_65,5,2,AB-63-AB-6285,Petrol,Available
66,Owner_66,Driver_66,7,3,AB-93-AB-6798,Diesel,In Use
67,Owner_67,Driver_67,6,4,AB-84-AB-5896,Electric,In Use
68,Owner_68,Driver_68,7,4,AB-91-AB-7218,Diesel,Under Maintenance
69,Owner_69,Driver_69,5,5,AB-56-AB-7234,Petrol,Under Maintenance
70,Owner_70,Driver_70,10,1,AB-35-AB-7299,Diesel,Under Maintenance
71,Owner_71,Driver_71,6,4,AB-51-AB-9815,Petrol,Available
72,Owner_72,Driver_72,7,2,AB-49-AB-5728,Petrol,Available
73,Owner_73,Driver_73,8,3,AB-52-AB-6446,Electric,In Use
74,Owner_74,Driver_74,2,2,AB-98-AB-4778,Petrol,Available
75,Owner_75,Driver_75,4,4,AB-21-AB-8855,Diesel,In Use
76,Owner_76,Driver_76,7,3,AB-85-AB-4119,Electric,In Use
77,Owner_77,Driver_77,3,5,AB-94-AB-7461,Electric,Under Maintenance
78,Owner_78,Driver_78,2,1,AB-35-AB-6901,Petrol,In Use
79,Owner_79,Driver_79,9,4,AB-26-AB-9702,Petrol,In Use
80,Owner_80,Driver_80,2,5,AB-39-AB-4573,Electric,Available
81,Owner_81,Driver_81,3,1,AB-72-AB-8400,Diesel,In Use
82,Owner_82,Driver_82,7,1,AB-33-AB-5558,Petrol,In Use
83,Owner_83,Driver_83,5,3,AB-62-AB-1662,Diesel,Available
84,Owner_84,Driver_84,7,4,AB-28-AB-9428,Petrol,In Use
85,Owner_85,Driver_85,8,5,AB-14-AB-2974,Diesel,Under Maintenance
86,Owner_86,Driver_86,6,5,AB-37-AB-7520,Petrol,Available
87,Owner_87,Driver_87,1,2,AB-62-AB-6846,Petrol,Under Maintenance
88,Owner_88,Driver_88,7,5,AB-59-AB-9772,Electric,In Use
89,Owner_89,Driver_89,4,1,AB-62-AB-2282,Electric,Under Maintenance
90,Owner_90,Driver_90,8,5,AB-75-AB-5841,Electric,In Use
91,Owner_91,Driver_91,1,4,AB-67-AB-8830,Petrol,In Use
92,Owner_92,Driver_92,8,1,AB-98-AB-4411,Diesel,In Use
93,Owner_93,Driver_93,8,4,AB-73-AB-6968,Diesel,Under Maintenance
94,Owner_94,Driver_94,9,4,AB-55-AB-7866,Electric,Under Maintenance
95,Owner_95,Driver_95,8,2,AB-21-AB-9159,Diesel,In Use
96,Owner_96,Driver_96,2,2,AB-97-AB-7048,Diesel,Under Maintenance
97,Owner_97,Driver_97,4,4,AB-36-AB-7160,Petrol,In Use
98,Owner_98,Driver_98,3,5,AB-41-AB-1210,Diesel,In Use
99,Owner_99,Driver_99,8,4,AB-60-AB-6936,Electric,Under Maintenance
100,Owner_100,Driver_100,10,2,AB-20-AB-1958,Petrol,Available
101,Owner_101,Driver_101,6,4,AB-70-AB-1762,Petrol,Available
102,Owner_102,Driver_102,4,2,AB-22-AB-2169,Electric,Under Maintenance
