driver_id,name,latitude,longitude,city_id,vehicle_id,operators_id,is_available,max_delivery_radius,pending_orders_count,availability_time
1,Driver_1,30.249594521546765,74.22373015905148,1,1,12,True,,,
2,Driver_2,30.12394979888454,74.19701433463776,1,2,12,True,,,
3,Driver_3,30.20069103974207,74.07659530928767,1,3,10,True,,,
4,Driver_4,30.252904067443428,74.11456565243326,1,4,12,True,,,
5,Driver_5,30.254694929924884,74.13232653389935,1,5,12,True,,,
6,Driver_6,30.133678522555496,74.23024226226923,1,6,12,True,,,
7,Driver_7,30.142042597601357,74.20669391391566,1,7,1,True,,,
8,Driver_8,30.029067511185826,74.22512367893445,1,8,12,True,,,
9,Driver_9,30.137527647056128,74.24796783672421,1,9,10,True,,,
10,Driver_10,30.119703958753284,74.06759440971463,1,10,12,True,,,
11,Driver_11,30.137132499036845,74.2110615192948,1,11,10,True,,,
12,Driver_12,30.155861581689035,74.21738226777862,1,12,1,True,,,
13,Driver_13,30.174023906647033,74.14677028339958,1,13,1,True,,,
14,Driver_14,30.076416444516042,74.09585425038547,1,14,12,True,,,
15,Driver_15,30.028460321085387,74.2366312198883,1,15,10,True,,,
16,Driver_16,30.21639856239594,74.25398648893199,1,16,12,True,,,
17,Driver_17,30.156106882732217,74.2051270124247,1,17,12,True,,,
18,Driver_18,30.108506846007558,74.12901427476812,1,18,12,True,,,
19,Driver_19,30.223986080340378,74.16000606509401,1,19,10,True,,,
20,Driver_20,30.21884757185165,74.09509175682557,1,20,12,True,,,
21,Driver_21,30.1648805334827,74.19042080778362,1,21,1,True,,,
22,Driver_22,30.154006681862537,74.17137034739596,1,22,10,True,,,
23,Driver_23,30.08213703507879,74.26214125163061,1,23,10,True,,,
24,Driver_24,30.119424342016128,74.06584099920698,1,24,1,True,,,
25,Driver_25,30.20165345631989,74.21551641194996,1,25,1,True,,,
26,Driver_26,30.142541811408872,74.193540220146,1,26,12,True,,,
27,Driver_27,30.217437889734846,74.23610018534714,1,27,10,True,,,
28,Driver_28,30.158098664796746,74.22876589335176,1,28,10,True,,,
