id,List_of_items,number_of_items_per_type,total_number_of_items,store_id,operator_id,city_id
1,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[16, 16, 67, 39, 36, 35, 82, 33, 21, 23]",368,1,1,19
2,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[74, 91, 54, 55, 47, 74, 64, 53, 92, 99]",703,2,1,19
3,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[31, 32, 24, 13, 77, 71, 57, 26, 67, 98]",496,3,1,19
4,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[28, 88, 61, 39, 46, 11, 40, 95, 59, 24]",491,4,1,19
5,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[59, 34, 19, 87, 52, 62, 44, 38, 73, 22]",490,5,1,19
6,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[19, 15, 50, 92, 53, 32, 97, 11, 22, 14]",405,6,1,19
7,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[33, 71, 83, 41, 75, 37, 88, 46, 87, 26]",587,7,1,19
8,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[73, 57, 97, 27, 46, 86, 27, 61, 97, 40]",611,8,1,19
9,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[64, 54, 61, 11, 64, 66, 50, 38, 75, 54]",537,9,1,19
10,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[15, 25, 87, 30, 89, 33, 36, 23, 37, 99]",474,10,1,19
11,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[11, 41, 92, 57, 33, 19, 61, 41, 32, 80]",467,11,1,13
12,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[57, 51, 28, 26, 83, 16, 38, 38, 20, 72]",429,12,1,13
13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[31, 88, 12, 62, 21, 90, 20, 65, 55, 36]",480,13,1,13
