Request_id,Assigned_driver_id,Assigned_Driver_latitude,Assigned_Driver_longitude,Request_latitude,Request_longitude,Assigned_Store_id,Store_latitude,Store_longitude,Distance_from_customer_to_driver,Distance_from_driver_to_store,Distance_store_to_customer,Total_distance
1,1,30.1003762664606,74.22659644252217,30.09827428726745,74.24413509039057,685,30.091007695502608,74.22531337360314,1.7033494023810851,1.0490252063084269,1.9828549052732807,3.0318801115817076
2,55,30.148500385343173,74.0928905224967,30.11743156034064,74.1042525549107,764,30.168509816742983,74.10080420826472,3.623374881708436,2.3514424587360265,5.6893141077907305,8.040756566526756
3,40,30.13363441378856,74.19649017847614,30.101119284364295,74.19370704164288,683,30.12854618201701,74.20162004453019,3.62541380539758,0.7506648829932835,3.143273513431414,3.8939383964246974
4,26,30.09708377302292,74.32986946250062,30.123062519644208,74.30643792205552,818,30.11991268405488,74.28254983846723,3.6639674942073173,5.211761049037883,2.32408762664667,7.535848675684553
5,16,30.15027800581119,74.11209396420585,30.210740943261204,74.1559032274952,764,30.168509816742983,74.10080420826472,7.93308529034113,2.29957264895876,7.077866036615862,9.37743868557462
6,50,30.144869173586912,74.19492166421193,30.137595881479708,74.2027072651412,765,30.14355284060013,74.1948613866915,1.1020807519533906,0.14648426622385283,1.0039783507393962,1.150462616963249
7,30,30.118495150979424,74.15030498405724,30.110952702465063,74.14274767225554,819,30.124799423487875,74.15368517246216,1.1098573882071148,0.7727213237164744,1.8647623597619452,2.6374836834784197
8,27,30.053741486390468,74.23352433948597,30.061129638265417,74.31310603907268,686,30.06222877848217,74.22721467552492,7.703022787584116,1.1222323286203133,8.26689268616998,9.389125014790293
9,76,30.281818840185547,74.1512796203054,30.228053404683195,74.1181128956937,770,30.219077118620923,74.21203786665951,6.774222714904178,9.095708839720993,9.079336918929132,18.175045758650125
10,28,30.262803137389604,74.29830892704666,30.20416689505792,74.28164577407209,816,30.22128663472273,74.27115667754806,6.713699012018355,5.3023189375337605,2.1539890413403175,7.456307978874078
11,36,30.2468201046799,74.34120797488883,30.280524943667583,74.34514839209331,816,30.22128663472273,74.27115667754806,3.766865455985595,7.30419919592274,9.690203565331045,16.994402761253784
12,37,30.041691134258315,74.03329305690471,30.04945872044463,74.05576756238112,820,30.110921229716823,74.1042341013168,2.329301048100599,10.288667725963002,8.27378747377729,18.562455199740292
13,54,30.11604765015688,74.16969285123666,30.14163100148461,74.17210683451984,690,30.101724903274626,74.16908300946999,2.854196353431546,1.5936967843134018,4.446876103064916,6.0405728873783175
14,9,30.171465556891352,74.05615520370733,30.153052364302784,74.04904152283224,764,30.168509816742983,74.10080420826472,2.1586560978806832,4.304774446757575,5.264985878188671,9.569760324946246
15,71,30.193354620107808,74.1884096418654,30.18551464775296,74.2348102846016,813,30.180793468758495,74.17951597293225,4.544123770813313,1.6375560816251034,5.340720694007535,6.978276775632638
16,35,30.200201713151404,74.18930156971241,30.237954197238672,74.31944522119832,813,30.180793468758495,74.17951597293225,13.19058048001291,2.354136381189658,14.872875394176916,17.227011775366574
17,72,30.088815963802595,74.33208867315923,30.075486150059422,74.33311818308268,818,30.11991268405488,74.28254983846723,1.4855140118871455,5.887771556670538,6.933255465563039,12.821027022233576
18,69,30.162769164049887,73.93930618711352,30.111474010551145,73.94466935984906,764,30.168509816742983,74.10080420826472,5.727030753192978,15.53896976109852,16.29868419749618,31.8376539585947
19,29,30.147902208258333,74.21779339669511,30.26170085338896,74.26937975381861,470,30.14191744743523,74.21487972732132,13.590249092490483,0.7220468257081833,14.312075934724843,15.034122760433027
20,56,30.07084090885609,74.1016801049593,30.023404661019224,74.0250820478507,820,30.110921229716823,74.1042341013168,9.065259877437164,4.46349694042672,12.357938755328187,16.821435695754907
21,18,30.17696669438284,74.36856361245508,30.156153975445047,74.42354356914967,812,30.15063250443885,74.28012588023365,5.769980826295945,8.99237539454829,13.803047337045417,22.795422731593707
