Request_id,Assigned_store_id,Assigned_store_latitude,Assigned_store_longitude,Assigned_driver_id,Assigned_Driver_latitude,Assigned_Driver_longitude,Request_latitude,Request_longitude,Distance_to_store,Distance_to_driver,Total_Distance
362,1540,25.4473402611536,81.84472575661218,609,25.446638125568825,81.84572419113668,25.448269116150897,81.84455256417348,0.10473765661279781,0.12706530639680993,0.23180296300960773
376,1856,25.44338054661998,81.8420791767899,627,25.445021402951493,81.8435744655782,25.44131093189718,81.8428148668368,0.24169630076586268,0.2362882980646144,0.47798459883047706
217,335,26.45433057687452,74.63813124751142,355,26.45178953784319,74.63661166628863,26.451866597665692,74.63739786129412,0.2835430802272535,0.3204997064110349,0.6040427866382885
1034,1447,25.349864161232507,74.63918565704437,1738,25.349952512536746,74.63247631871467,25.3496686087588,74.6391503163438,0.022032536567503383,0.6742793055771275,0.6963118421446308
372,1540,25.4473402611536,81.84472575661218,614,25.444276115619367,81.84218215421909,25.44263859597813,81.84504550355895,0.5237861890135315,0.4258129912945736,0.9495991803081051
146,1453,19.08045317775195,74.7819612185035,210,19.08002672135927,74.7758983279744,19.076458663444512,74.78268194936469,0.4505809916571322,0.6388875572062539,1.0894685488633862
903,1308,27.660445001183984,81.73466417336087,1521,27.665618348281303,81.73281532226117,27.6649323022465,81.73410878606076,0.5019541563806675,0.6033795343123238,1.1053336906929914
301,527,27.880248628911392,78.07748447889477,509,27.884560228809537,78.08523706414317,27.881290946556035,78.07465624369186,0.30117472968351816,0.9002517018277242,1.2014264315112424
844,1525,25.238051272133145,86.94196916024362,1413,25.239043377031106,86.93742047054077,25.232236553295383,86.94573950511558,0.7495778091116531,0.47062081813810935,1.2201986272497625
176,311,23.016182583719207,72.59180234234715,255,23.01528751826661,72.59764290162987,23.02084368181716,72.59626879036388,0.691062835194949,0.6059726361816392,1.2970354713765881
1351,942,19.312243816872385,84.79009008599544,2284,19.308337744954315,84.78898349713602,19.31397563159977,84.78076451470596,0.9973687093911257,0.4495910952929361,1.4469598046840617
921,13,27.60357497514113,81.69473098579913,1509,27.607635413843205,81.70020830206255,27.597817365493032,81.69912726579025,0.7730141798487198,0.7036647952813365,1.4766789751300564
1143,404,20.27735976054409,85.83938389432187,1905,20.275698056251905,85.83466915406078,20.27897069615321,85.82988114801523,1.0072230310927148,0.5253346371827555,1.5325576682754702
1276,1921,16.82572405718421,75.68881248614512,2133,16.821773749607488,75.69269093272699,16.817272784190116,75.69139834383964,0.9792144107583228,0.6027872447595559,1.5820016555178786
87,439,23.82452858952352,91.28354217709816,104,23.830562831941343,91.27506185950716,23.82882029049495,91.2851585093607,0.5047426817653174,1.092831325224866,1.5975740069901834
1092,701,28.79725257804472,76.12935938346105,1836,28.79280493706168,76.13362812726228,28.800548492858145,76.13857601899645,0.9699862181604707,0.6462319332536813,1.616218151414152
732,564,28.34579412575169,79.39261976213932,1233,28.34963159055348,79.38482035290114,28.340115087285103,79.39685456713936,0.7553326422213172,0.8744355325667186,1.629768174788036
860,1117,25.24469173409656,86.97299595817398,1437,25.246130415293877,86.95833388235951,25.244966849626195,86.97131823038923,0.17148827960758908,1.4832846652829057,1.6547729448904949
907,19,27.60282987466161,81.71091245488952,1536,27.61058869934846,81.70781790553634,27.597494090558754,81.71566771068441,0.756038719242617,0.9150417004301509,1.671080419672768
77,437,23.83690950905764,91.327187882093,124,23.833385242321896,91.33906597838688,23.83451253148145,91.33029612358531,0.41350324367411523,1.2701044311440166,1.683607674818132
41,1893,19.401676271570864,78.3090287348635,61,19.39398406887658,78.30140772735147,19.40629038484694,78.30909443663388,0.5131122582186832,1.1706830713469523,1.6837953295656356
93,855,27.173390400427163,78.01213452433747,160,27.177576214789127,78.00399631235214,27.174710988687124,78.00377629205224,0.8397482064889898,0.9299012466092839,1.7696494530982738
602,1807,25.89919499239905,80.79144199270995,1031,25.89214797315741,80.7931314542421,25.892615773187707,80.79804677341798,0.9857453363408325,0.8016093486851955,1.787354685026028
722,562,28.35595206320084,79.42420443882423,1206,28.35548326148897,79.42697531646338,28.342199123450285,79.42378907247745,1.5297972348729374,0.2761050765538814,1.8059023114268187
1476,506,19.951537579074756,79.29854332657433,2489,19.94556709657972,79.28606840130031,19.94943446979398,79.29613781943547,0.34337195810740084,1.4631985987069336,1.8065705568143344
858,1116,25.249434266163675,86.9770856631527,1409,25.24523908033819,86.96084174937505,25.24837080980192,86.97617856947828,0.14935137219810254,1.698994149702073,1.8483455219001756
1472,503,19.91763300889389,79.2763810673283,2466,19.92227511950629,79.28229204873922,19.92428093918621,79.28509001760155,1.1727542025762507,0.805169885924735,1.9779240885009859
727,562,28.35595206320084,79.42420443882423,1219,28.350537327713862,79.43039093510069,28.34806950510678,79.43179985755451,1.1492139119630016,0.8538164517611811,2.0030303637241826
