driver_id,name,latitude,longitude,city_id,vehicle_id,operators_id,is_available,max_delivery_radius,pending_orders_count,availability_time
1,Driver_1,30.084659631844914,74.12529332220869,1,1,8,True,,,
2,Driver_2,30.154477416045204,74.14095599354914,1,2,4,True,,,
3,Driver_3,29.99595288546237,74.12168329111346,1,3,4,True,,,
4,Driver_4,30.11483443435756,74.22968439763162,1,4,6,True,,,
5,Driver_5,30.14893132847289,74.16926797293772,1,5,6,True,,,
6,Driver_6,30.036836475434967,74.00061880512241,1,6,4,True,,,
7,Driver_7,30.0788459722922,74.21542816679795,1,7,6,True,,,
8,Driver_8,30.210709238331305,74.41242602094687,1,8,4,True,,,
9,Driver_9,30.27939862706521,74.06774106250391,1,9,8,True,,,
10,Driver_10,30.15068561135369,74.18147729769834,1,10,8,True,,,
11,Driver_11,29.980016552393977,74.23463630142595,1,11,6,True,,,
12,Driver_12,30.0941103599458,74.18090251214261,1,12,8,True,,,
13,Driver_13,29.962244219105582,74.24937170708301,1,13,4,True,,,
14,Driver_14,30.246845389004623,74.07401462936795,1,14,8,True,,,
15,Driver_15,30.135517487995276,74.17976828054138,1,15,4,True,,,
16,Driver_16,30.08541987208029,74.29720840717218,1,16,6,True,,,
17,Driver_17,30.113934095083135,74.16093872627494,1,17,6,True,,,
18,Driver_18,30.244046299736862,74.03614922890256,1,18,6,True,,,
19,Driver_19,30.149678450395506,74.18615415497855,1,19,8,True,,,
20,Driver_20,30.032464056564976,74.25442047478201,1,20,6,True,,,
21,Driver_21,30.251819810370957,74.32652229035321,1,21,4,True,,,
22,Driver_22,30.213552925171523,74.06109280954172,1,22,8,True,,,
23,Driver_23,30.118191115580643,74.14778751744913,1,23,6,True,,,
24,Driver_24,30.169581683642352,74.19584891503129,1,24,6,True,,,
25,Driver_25,30.297872895926677,74.34827244326722,1,25,4,True,,,
26,Driver_26,30.232068826091663,74.17383297269859,1,26,8,True,,,
27,Driver_27,29.99183959029567,74.16983030280261,1,27,8,True,,,
28,Driver_28,30.087700017379785,74.18866894174882,1,28,8,True,,,
29,Driver_29,30.148576916135067,74.35997919256496,1,29,6,True,,,
30,Driver_30,30.246874311247925,74.38368897424719,1,30,4,True,,,
31,Driver_31,30.006525760966056,74.07965679947043,1,31,4,True,,,
32,Driver_32,30.01475613469209,74.04702579690704,1,32,8,True,,,
33,Driver_33,30.061199007630503,74.02184788240636,1,33,6,True,,,
