city_id,name,center_latitude,center_longitude,radius,district,state,country,population,list_of_companies,list_of_operators
1,Abohar,30.144533,74.19552,23.80819830572803,Abohar,Punjab,India,4917870,[],"[4, 6, 8]"
2,Adilabad,19.4,78.31,27.93633980297695,Adilabad,Telangana,India,13742874,[],"[3, 4, 5]"
3,Agartala,23.836049,91.279386,29.978504880269035,Agartala,Tripura,India,7884607,[],"[1, 3, 10]"
4,Agra,27.187935,78.003944,10.166341953775124,Agra,Uttar Pradesh,India,1172011,[],"[5, 6]"
5,Ahmadnagar,19.094571,74.738432,18.49019156714727,Ahmadnagar,Maharashtra,India,8395102,[],"[3, 4, 7, 9]"
6,Ahmedabad,23.025793,72.587265,27.72066613636398,Ahmedabad,Gujarat,India,5997699,[],"[1, 6, 7, 8, 10]"
7,Aizawl  ,23.736701,92.714596,18.552226158045187,Aizawl  ,Mizoram,India,10216723,[],"[2, 3, 7, 9]"
8,Ajmer,26.452103,74.638667,27.859617353394828,Ajmer,Rajasthan,India,2230319,[],"[2, 3, 4, 5, 6, 7, 9]"
9,Akola,20.709569,76.998103,11.723303858406407,Akola,Maharashtra,India,6530453,[],"[3, 5, 9, 10]"
10,Alappuzha,9.494647,76.331108,11.801804291933493,Alappuzha,Kerala,India,5964923,[],"[4, 7, 9, 10]"
11,Aligarh,27.881453,78.07464,23.05712122600461,Aligarh,Uttar Pradesh,India,1362612,[],"[4, 6, 8, 9, 10]"
12,Alipurduar,26.4835,89.522855,11.421160810176012,Alipurduar,West Bengal,India,9294602,[],"[1, 2, 5]"
13,Allahabad,25.44478,81.843217,28.996348779283608,Allahabad,Uttar Pradesh,India,12878103,[],"[1, 2, 3, 8, 9, 10]"
14,Alwar,27.566291,76.610202,22.215146968382804,Alwar,Rajasthan,India,6072060,[],"[4, 7, 8, 10]"
15,Ambala,30.360993,76.797819,14.50894380075679,Ambala,Haryana,India,3762013,[],"[1, 6, 8, 9]"
16,Amaravati,20.933272,77.75152,26.589481878151872,Amaravati,Maharashtra,India,13034712,[],"[1, 2, 5, 7, 8, 10]"
17,Amritsar,31.622337,74.875335,17.846368809116775,Amritsar,Punjab,India,7823553,[],"[1, 2, 3, 8, 9]"
18,Asansol,23.683333,86.983333,22.122028644848644,Asansol,West Bengal,India,9424078,[],"[3, 6, 8]"
19,Aurangabad,19.880943,75.346739,27.070864313711567,Aurangabad,Maharashtra,India,11334360,[],"[1, 2, 5]"
20,Aurangabad,24.752037,84.374202,27.50221456364638,Aurangabad,Bihar,India,5153567,[],"[2, 4, 5, 6, 7, 10]"
21,Bakshpur,25.894283,80.792104,24.54254785744719,Bakshpur,Uttar Pradesh,India,12705693,[],"[4, 5, 6, 9]"
22,Bamanpuri,28.804495,79.040305,23.89886524009517,Bamanpuri,Uttar Pradesh,India,10654279,[],"[1, 5, 7, 10]"
23,Baramula,34.209004,74.342853,19.872928487102573,Baramula,Jammu and Kashmir,India,6421589,[],"[2, 6, 8]"
24,Barddhaman,23.255716,87.856906,18.50040735500189,Barddhaman,West Bengal,India,9126797,[],"[3, 4, 7]"
25,Bareilly,28.347023,79.421934,21.041007328297667,Bareilly,Uttar Pradesh,India,12567030,[],"[1, 2]"
